SG_number,ID_SiteDate
SG_1121,CB_TX_2022-6-9
SG_1608,SawIs_MA_2022-9-5
SG_1869,DC_DR_ME_2022-10-25
SG_1115,CB_TX_2022-6-9
SG_1253,CC_VA_2022-7-11
SG_1586,KP_FGR_FL_2022-8-23
SG_1450,Cal_Lake_LA_2022-8-11
SG_1582,KP_FGR_FL_2022-8-23
SG_1879,DC_DR_ME_2022-10-25
SG_1455,Cal_Lake_LA_2022-8-11
SG_1360,Nickle_Rf_LA_2022-8-1
SG_1897,DC_DR_ME_2022-10-25
SG_1228,TP_TX_2022-6-28
SG_2051,EC_ApBay_FL_2023-10-4
SG_1232,CC_VA_2022-7-11
SG_2064,IL_ApBay_FL_2023-10-3
SG_1113,CB_TX_2022-6-9
SG_1770,DWS_CB_VA_2022-10-7
SG_1975,FFJ_CF_NC_2023-7-19
SG_1941,UNCW_MS_NC_2023-7-17
SG_2092,FC_LIS_CT_2023-10-11
SG_2087,FC_LIS_CT_2023-10-11
SG_2083,FC_LIS_CT_2023-10-11
SG_2101,FC_LIS_CT_2023-10-11
SG_1149,FP_Sav_GA_2022-6-10
SG_2012,AC_LIS_CT_2023-10-3
SG_2090,FC_LIS_CT_2023-10-11
SG_1505,NR_NB_RI_2022-8-19
SG_1785,NPS_PS_NC_2022-10-12
SG_1595,KP_FGR_FL_2022-8-23
SG_2086,FC_LIS_CT_2023-10-11
SG_1684,EelLake_Canada_2022-9-27
SG_1788,NPS_PS_NC_2022-10-12
SG_2031,IL_ApBay_FL_2023-10-3
SG_2036,EC_ApBay_FL_2023-10-4
SG_1556,CPR_MS_AL_2022-8-24
SG_2053,EC_ApBay_FL_2023-10-4
SG_1743,WS_CB_VA_2022-10-7
SG_2070,IL_ApBay_FL_2023-10-3
SG_1995,AC_LIS_CT_2023-10-3
SG_1753,DWS_CB_VA_2022-10-7
SG_2001,AC_LIS_CT_2023-10-3
SG_1711,SaLa_GA_2022-10-5
SG_1865,LCP_UP_MD_2022-10-20
SG_2071,IL_ApBay_FL_2023-10-3
SG_1834,PrEdIs_CN_A_2022-10-18
SG_2027,IL_ApBay_FL_2023-10-3
SG_1561,CPR_MS_AL_2022-8-24
SG_1143,FP_Sav_GA_2022-6-10
SG_2002,AC_LIS_CT_2023-10-3
SG_2003,AC_LIS_CT_2023-10-3
SG_2058,EC_ApBay_FL_2023-10-4
SG_1681,EelLake_Canada_2022-9-27
SG_1888,DC_DR_ME_2022-10-25
SG_1188,Culch_Ba_LA_2022-6-21
SG_1994,AC_LIS_CT_2023-10-3
SG_1554,CPR_MS_AL_2022-8-24
SG_1819,PrEdIs_CN_A_2022-10-18
SG_2091,FC_LIS_CT_2023-10-11
SG_1695,SaLa_GA_2022-10-5
SG_1117,CB_TX_2022-6-9
SG_2025,IL_ApBay_FL_2023-10-3
SG_2067,IL_ApBay_FL_2023-10-3
SG_1952,UNCW_MS_NC_2023-7-17
SG_2008,AC_LIS_CT_2023-10-3
SG_1513,DC_NB_RI_2022-8-19
SG_2000,AC_LIS_CT_2023-10-3
SG_1367,Nickle_Rf_LA_2022-8-1
SG_2024,IL_ApBay_FL_2023-10-3
SG_1456,Cal_Lake_LA_2022-8-11
SG_1220,TP_TX_2022-6-28
SG_2044,EC_ApBay_FL_2023-10-4
SG_1991,AC_LIS_CT_2023-10-3
SG_2029,IL_ApBay_FL_2023-10-3
SG_1654,SaltBay_Canada_2022-9-27
SG_2041,EC_ApBay_FL_2023-10-4
SG_2038,EC_ApBay_FL_2023-10-4
SG_1724,WS_CB_VA_2022-10-7
SG_1417,GriceCove_SC_2022-8-10
SG_2094,FC_LIS_CT_2023-10-11
SG_2047,EC_ApBay_FL_2023-10-4
SG_1497,NR_NB_RI_2022-8-19
SG_2013,AC_LIS_CT_2023-10-3
SG_1254,CC_VA_2022-7-11
SG_1892,DC_DR_ME_2022-10-25
SG_1466,SR_GB_NH_2022-8-12
SG_2077,FC_LIS_CT_2023-10-11
SG_1954,UNCW_MS_NC_2023-7-17
SG_2049,EC_ApBay_FL_2023-10-4
SG_1980,FFJ_CF_NC_2023-7-19
SG_1621,SawIs_MA_2022-9-5
SG_2075,FC_LIS_CT_2023-10-11
SG_2063,IL_ApBay_FL_2023-10-3
SG_2037,EC_ApBay_FL_2023-10-4
SG_1802,NPS_PS_NC_2022-10-12
SG_1937,UNCW_MS_NC_2023-7-17
SG_2061,EC_ApBay_FL_2023-10-4
SG_1368,Nickle_Rf_LA_2022-8-1
SG_1190,Culch_Ba_LA_2022-6-21
SG_1396,Sister_Lk_LA_2022-8-9
SG_2035,EC_ApBay_FL_2023-10-4
SG_2040,EC_ApBay_FL_2023-10-4
SG_1302,Sapelo_Is_GA_2022-7-17
SG_2005,AC_LIS_CT_2023-10-3
SG_1174,SkR_GA_2022-6-14
SG_2079,FC_LIS_CT_2023-10-11
SG_2042,EC_ApBay_FL_2023-10-4
SG_1398,Sister_Lk_LA_2022-8-9
SG_2057,EC_ApBay_FL_2023-10-4
SG_1648,SaltBay_Canada_2022-9-27
SG_2060,EC_ApBay_FL_2023-10-4
SG_2014,AC_LIS_CT_2023-10-3
SG_1757,DWS_CB_VA_2022-10-7
SG_2099,FC_LIS_CT_2023-10-11
SG_1507,NR_NB_RI_2022-8-19
SG_1982,FFJ_CF_NC_2023-7-19
SG_2004,AC_LIS_CT_2023-10-3
SG_2043,EC_ApBay_FL_2023-10-4
SG_1470,SR_GB_NH_2022-8-12
SG_2052,EC_ApBay_FL_2023-10-4
SG_2009,AC_LIS_CT_2023-10-3
SG_1820,PrEdIs_CN_A_2022-10-18
SG_1986,FFJ_CF_NC_2023-7-19
SG_2026,IL_ApBay_FL_2023-10-3
SG_1217,TP_TX_2022-6-28
SG_1443,Cal_Lake_LA_2022-8-11
SG_2048,EC_ApBay_FL_2023-10-4
